Hey dude, ths is awsome! 😎
I luv pizza so much, it's da best! 🍕
OMG, that party was lit AF 🔥
She's so cute, I can't even 😍
This homework is so boring, I hate it 😴
My phone is broken, fml 🙁
Let's go to the beach, it's gonna be fun ☀️
I got a new car, it's sick! 🚗
That movie was trash, don't watch it 👎
I aced the test, yasss! 🙌
He's such a jerk, ugh 😤
This food is delish, nom nom 🍔
I'm so tired, need coffee ASAP ☕
She said yes, I'm so happy! 💕
That joke was hilarious, lol 😂
I lost my keys, help! 🔑
This game is epic, play it now 🎮
He's my bff, forever 💯
That dress is gorgeous, love it 👗
I'm late, gotta run 🏃‍♂️
